Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита;Примечание МТО;Примечание ПО
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;373.028;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;414.905;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;611.387;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Не было в этом периоде;;;
2020-03-07;;СИБЭНЕРГОНАЛАДКА ООО;Подставка С12, H=9м Проект: 3079тм (в комплекте с башмаками);2392.0;1.0;;0.11983892522637718;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;190.753;;Не было в этом периоде;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1208.7;;;;;
;;Уголок 180х180х11 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1172.9679999999996;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1315.32;;;;;
2020-03-07;;СИБЭНЕРГОНАЛАДКА ООО;Подставка С13, H=5м Проект: 3079тм;2393.0;1.0;;0.10956851923361477;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;206.447;;;;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;489.6;;;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2062.638;;;;;
;;Уголок 180х180х11 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;725.544;;;;;
2020-03-06;;ЭнергоПроект-Инжиниринг ООО;Анкерно-угловая опора У110-2 с тросостойкой Р8 для крепления молниеотвода Проект: 3078тм;2400.0;1.0;;0.9632582929990482;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;381.506;;Изменение даты (05.03.2020->06.03.2020);;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;199.02;;Изменение даты (05.03.2020->06.03.2020);;;
;;Табличка 63х80 12Х18Н10Т;;;;0.04;;Изменение даты (05.03.2020->06.03.2020);;;
2020-03-13;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Анкерно-угловая опора 1У110-1+5 Проект: 3.407.2-170 без тросостойки; Фундамент   ФС-2; Опросн";2438.0;1.0;;0.3001847313742292;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;783.867;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;3007.995;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1936.779;;;;;
;;Лист 12 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;3519.546;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;203.99400000000003;;;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1303.839;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1842.969;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1473.351;;;;;
;;Швеллер 30 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;1136.319;;;;;
;;Швеллер 24 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;834.1309999999999;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1770.807;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.06;;;;;
2020-03-15;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Опора анкерная (концевая) А10ГИ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ; Фундамент ФС.325.1.L.S Пр";2439.0;1.0;;0.6658531050981473;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;350.325;;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;454.977;;;;;
;;Лист 3 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;26.784000000000002;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;970.488;;;;;
;;Труба 219х10 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;1700.9189999999999;;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;1573.56;;;;;
;;Уголок 32х32х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;690.5740000000003;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.54;;;;;
2020-03-13;;ЯМАЛ СПГ ОАО;Комплектная поставка:   Опора промежуточная повышенная ПП10ГИ-2 для изолированного провода 12;2446.0;1.0;;0.18179887118058713;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;302.494;;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;27.13;;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;101.956;;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-15 ГОСТ 19281-2014;;;;131.314;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;483.61199999999997;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-15 ГОСТ 19281-2014;;;;736.0;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.23600000000000002;;;;;
;;Труба профильная 120х120х4 ГОСТ 30245-94 09Г2С-15 ГОСТ 19281-2014;;;;66.152;;;;;
2020-02-28;;МЕССОЯХАНЕФТЕГАЗ АО;"Анкерно-угловая опора 1У110-7+5 Проект: 3.407.2-166 ; Кронштейн ВОЛС УК(У)-125 ТУ 3449-001-4";921567.0;1.0;;0.9667466003161859;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;;;;138.53799999999998;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;;;;472.418;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-54.9с Проект: 1.450.3-7.94;921598.0;1.0;;0.6645869539603524;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;910.9549999999997;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-48.9с Проект: 1.450.3-7.94;921599.0;1.0;;0.6593197819527399;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;82.30799999999999;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-18.9с Проект: 1.450.3-7.94;921600.0;1.0;;0.6559129689828778;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;58.64;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-30.9с Проект: 1.450.3-7.94;921601.0;1.0;;0.6393537424679442;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;101.03;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-9.7с Проект: 1.450.3-7.94;921602.0;1.0;;0.7433943713899471;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;20.88;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка ПГВ-9.9с Проект: 1.450.3-7.94;921604.0;1.0;;0.7121968998563557;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;26.848000000000003;;;;;
2020-03-08;;ГПН-РАЗВИТИЕ ООО;"Опора анкерная (концевая) А10ГИ-1 Проект: ОЭМЗ-ОГП-ТП.ВЛЗ.010.001 ; Фундамент ФС.219.1.L.S П";921607.0;1.0;;0.8956002421819302;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;233.128;;;;;
2020-02-18;;ГАЗПРОМНЕФТЬ-ННГ;Прожекторная мачта   Н=28м 914.18/1/3-ГПЭС-8, 9-ЭМ.ОЛ1;921616.0;1.0;;0.9489247239767453;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;609.706;;;;;
2020-02-18;;ГАЗПРОМНЕФТЬ-ННГ;Прожекторная мачта   Н=28м 914.18/1/4-УКПГ,Ф-18-ЭМ.ОЛ1;921617.0;1.0;;0.9489045638493919;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;304.853;;;;;
2020-02-18;;ГАЗПРОМНЕФТЬ-ННГ;Прожекторная мачта   Н=28м 914.18/1/4-УКПГ,Ф-38-ЭМ.ОЛ1;921618.0;1.0;;0.9489045638493919;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;304.853;;;;;
2020-03-12;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Сооружение   антенно-мачтовое МСТ-13,0-С.IV Технические требования 1101/3-008-СС.ТТ
ТТ 1101/";921675.0;1.0;;0.04017722775538379;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;66.88600000000001;;;;;
;;Лист 3 ГОСТ 19903-74 ст3 ГОСТ 380-2005;;;;0.988;;;;;
;;Уголок 40х40х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;8.812000000000001;;;;;
;;Круг 36 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;15.359000000000002;;;;;
;;Труба 203х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19821-2014;;;;139.64600000000002;;;;;
;;Труба 245х9 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;273.527;;;;;
;;Труба 351х8 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;319.556;;;;;
;;Труба 51х3,5 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;20.301;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Стремянка   СГ-58с Проект: 1.450.3-7.94;921677.0;1.0;;0.009035801072014404;;;;
;;Круг 18 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;119.02;;;;;
;;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;445.785;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-42.7с Проект:1.450.3-7.94;921682.0;1.0;;0.7068352886758337;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;111.54799999999999;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-9.7с Проект:1.450.3-7.94;921683.0;1.0;;0.7433943713899471;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;83.52;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-12.7с Проект:1.450.3-7.94;921689.0;1.0;;0.7185681980710876;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;116.488;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-15.7с Проект:1.450.3-7.94;921690.0;1.0;;0.71087003621282;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;18.683;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-9.9с Проект:1.450.3-7.94;921691.0;1.0;;0.7121968998563557;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;161.088;;;;;
2020-03-14;;ГПН-РАЗВИТИЕ ООО;Площадка   ПГВ-30.7с Проект:1.450.3-7.94;921692.0;1.0;;0.683337094590238;;;;
;;Лист ПВ 406 ТУ 36.26.11-5-89 ст3 ГОСТ 380-2005;;;;39.289;;;;;
2020-03-01;;ТРЕСТ КХМ АО;Прожекторная мачта МПУ-27-В5 Проект: ОЭМЗ-КР-ТП.ПММ.001;921844.0;1.0;;0.9896228675075806;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;394.712;;;;;
2020-03-05;;ТРЕСТ КХМ АО;Прожекторная мачта МПУ-30-В5 Проект: ОЭМЗ-КР-ТП.ПММ.001;921845.0;1.0;;0.9251439304677734;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;26.549;;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;87.82700000000001;;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;590.214;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;59.244;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;110.619;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;254.28900000000002;;;;;
;;Уголок 45х45х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;215.31;;;;;
;;Уголок 140х140х12 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;192.648;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.06;;;;;
2020-03-03;;ТРЕСТ КХМ АО;Прожекторная мачта МПУ-35-В5 Проект: ОЭМЗ-КР-ТП.ПММ.001;921846.0;1.0;;0.9995985404039224;;;;
;;Труба 73х6 ГОСТ 8732-78 09Г2С-12 ГОСТ 19281-2014;;;;14.769;;;;;
2020-03-03;;ТРЕСТ КХМ АО;Фундамент   ФМ4.426.1.L.S.2  Проект: ОЭМЗ-КР-ТП.ПММ.001;921847.0;1.0;;0.7704751751972079;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;739.08;;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1071.208;;;;;
2020-03-03;;ТРЕСТ КХМ АО;Фундамент ФПо.325.1.L.S. Проект: ОЭМЗ-КР-ТП.ФС.35/110/220.001;921849.0;1.0;;0.9294393899103478;;;;
;;Лист 25 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;148.59500000000025;;;;;
2020-03-13;;РН-СНАБЖЕНИЕ ООО;Анкерно-угловая опора 1У110-8 Проект: 3.407.2-166;921894.0;1.0;;0.2316694345184206;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;365.619;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;69.26899999999999;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 110х110х8 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;612.9019999999999;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1033.907;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;965.324;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2299.915;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;861.209;;Изменение даты (12.03.2020->13.03.2020);;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1705.49;;Изменение даты (12.03.2020->13.03.2020);;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Изменение даты (12.03.2020->13.03.2020);;;
2020-03-07;;РН-СНАБЖЕНИЕ ООО;"Прожекторная мачта   ПМС-25 Чертеж 7522914/0934Д-33-860303-АС-Ч-017; Наголовник М42 Проект:";921900.0;1.0;;0.6448144645423608;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;80.965;;Не было в этом периоде;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;97.64200000000001;;Изменение потребности (17.091->97.642);;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1.149;;Не было в этом периоде;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;65.824;;Не было в этом периоде;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;17.253;;Не было в этом периоде;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;226.39;;Не было в этом периоде;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;373.184;;Не было в этом периоде;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;21.58;;Не было в этом периоде;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;220.938;;Не было в этом периоде;;;
;;Швеллер 8 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;3.318;;Не было в этом периоде;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;60.493;;Не было в этом периоде;;;
;;Шпилька по чертежу М42х272.09Г2С-6.бп 3.407.9-146.3-01КМД;;;;23.664;;Не было в этом периоде;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Не было в этом периоде;;;
2020-03-07;;РН-СНАБЖЕНИЕ ООО;"Прожекторная мачта   ПМС-25 Чертеж 7522914/0934Д-33-860101-АС-Ч-017; Наголовник М42 Проект:";921901.0;1.0;;0.6614906878551162;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;97.64200000000001;;Изменение потребности (17.091->97.642);;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1.149;;Не было в этом периоде;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;65.824;;Не было в этом периоде;;;
;;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;24.980000000000263;;Не было в этом периоде;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;17.253;;Не было в этом периоде;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;226.39;;Не было в этом периоде;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;373.184;;Не было в этом периоде;;;
;;Уголок 160х160х10 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;21.58;;Не было в этом периоде;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;220.938;;Не было в этом периоде;;;
;;Швеллер 8 П ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;3.318;;Не было в этом периоде;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;60.493;;Не было в этом периоде;;;
;;Шпилька по чертежу М42х272.09Г2С-6.бп 3.407.9-146.3-01КМД;;;;23.664;;Не было в этом периоде;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;Не было в этом периоде;;;
2020-03-05;;ЭнергоСтройИнжиниринг ООО;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931.0;1.0;;0.9999915304336926;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.32;;;;;
2020-03-07;;ЭнергоСтройИнжиниринг ООО;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931.0;2.0;;0.9999915304336926;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.32;;;;;
2020-03-09;;ЭнергоСтройИнжиниринг ООО;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931.0;3.0;;0.936797555344381;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;499.04;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1888.576000000001;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.32;;;;;
2020-03-11;;ЭнергоСтройИнжиниринг ООО;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931.0;4.0;;0.6264624823621282;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1999.0399999999997;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;3747.1040000000003;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;8366.655999999999;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.32;;;;;
2020-03-13;;ЭнергоСтройИнжиниринг ООО;Опора промежуточная двухцепная 2ПГ35/110-1,110Т Проект: ОЭМЗ-КР-ТП.ВЛ.35/110/220.001;921931.0;5.0;;0.5622408726982204;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;523.9969999999997;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;2873.62;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;5386.4619999999995;;;;;
;;Уголок 45х45х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2964.0139999999988;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;12027.068000000001;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.46;;;;;
2020-03-02;;" ""ЛУКОЙЛ-Западная Сибирь""ООО";Анкерно-угловая опора 1У110-4+5 Проект: 3.407.2-170;922003.0;1.0;;0.9873169395040918;;;;
;;Лист 10 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;;;;147.976;;;;;
;;Уголок 160х160х10 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;;;;467.254;;;;;
2020-03-09;;" ""ЛУКОЙЛ-Западная Сибирь""ООО";Промежуточная опора П110-4В Проект: 11520тм;922004.0;3.0;;0.9760792008351599;;;;
;;Лист 20 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;;;;810.23;;Изменение даты (08.03.2020->09.03.2020);;;
2020-03-02;;ЧТК;Фундамент   ФУ4.325.1.L.S.2 Проект: ОЭМЗ-КР-ТП.ФС.35/110/220.001;922012.0;1.0;;0.5353486462079604;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;203.055;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;4179.222;;;;;
2020-03-08;;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;"Опора анкерная угловая АУ10Г-1 Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент   ФС.219.1.9000.8";922019.0;1.0;;0.38462965408856364;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;30.962;;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;798.3439999999999;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;;;;
2020-03-08;;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;"Опора анкерная (концевая) А10Г-1М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Установка разъединителя н";922020.0;1.0;;0.4155405306842881;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;2.097;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;0.868;;;;;
;;Труба 219х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;798.3439999999999;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;;;;
2020-03-08;;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;"Опора анкерная (концевая) АО10Г-1УМ Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Оголовок ОГ.С.530.1.500";922021.0;1.0;;0.646082632622238;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;419.175;;;;;
;;Труба 530х9 ГОСТ 10704-91 09Г2С-12 ГОСТ 19281-2014;;;;185.019;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;372.25800000000004;;;;;
2020-03-08;;ГАЗПРОМНЕФТЬ-ЯМАЛ ООО;"Опора промежуточная П10Г-5М Проект: ОЭМЗ-ОГП-ТП.ВЛ.010.001 ; Фундамент ФС.219.1.L.S Проект:";922022.0;1.0;;0.8490984897529301;;;;
;;Труба профильная 80х80х4 ГОСТ 30245-94 09Г2С-12 ГОСТ 19281-2014;;;;980.082;;;;;
;;Втулка 42х40 - d23;;;;144.0;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.36;;;;;
2020-03-12;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Блок   разъединителя*** 1039.Б35-18.00.000СБ;922023.0;1.0;;0.5716617769983448;;;;
;;Лист 16 ГОСТ 19903-74 С345-6 ГОСТ 27772-2015;;;;44.302;;Изменение даты (04.03.2020->12.03.2020);;;
;;Уголок 40х40х4 ГОСТ 8509-86 С345-6 ГОСТ 27772-2015;;;;16.482;;Изменение даты (04.03.2020->12.03.2020);;;
;;Лист ГЦ(Прокат 03) 1,5 Ц350 ГОСТ Р 52246-2016;;;;46.69;;Изменение даты (04.03.2020->12.03.2020);;;
;;Труба профильная 140х140х8 ГОСТ 30245-2003 С345-6 ГОСТ 27772-2015;;;;153.868;;Изменение даты (04.03.2020->12.03.2020);;;
2020-03-12;;ТАВРИДА ЭЛЕКТРИК ОМСК ООО;Блок   реклоузера*** 1039.Б35-45.00.000СБ;922024.0;1.0;;0.5209434681843519;;;;
;;Труба профильная 140х140х8 ГОСТ 30245-2003 С345-6 ГОСТ 27772-2015;;;;163.296;;Изменение даты (04.03.2020->12.03.2020);;;
